B1,3V3
B2,VBAT
B3,RST
B4,PA2
B5,PA3
B6,PA5
B7,PA4
B8,PC4
B9,AREF
B10,AGND
B11,PC5
B12,PC1
B13,PC0
B14,PA0
B15,PA1
B16,GND
B17,PA6
B18,PA7
B19,PB0
B20,PB1
H1,VIN
H2,GND
H3,PA9
H3A,PA9
H3B,PB9
H4,PA10
H4A,PA10
H4B,PB8
H5,PB6
H6,PB7
H6A,PB7
H6B,PB12
H7,PA15
H8,PB3
H9,PB5
H10,PB4
H11,PB10
H12,PB11
H13,PC8
H14,PB13
H15,PC3
H16,PC2
H17,PC6
H18,PC7
H19,PB14
H20,PB15
SW,PC13
LED_RED,PA8
LED_GREEN,PC9
LED_BLUE,PB2
USB_DM,PA11
USB_DP,PA12
